Player_Names,Country,Start_Year,End_Year,Matches,Innings,Not_Out,Total_Runs,Highest_Score,Batting_Average,100's,50's,0,Career_Span,HS_num,Photos,contry link,country board
SR Tendulkar ,India,1989,2013,200,329,33,15921,248*,53.78,51,68,14,24,248,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_960,q_50/lsci/db/PICTURES/CMS/42400/42471.jpg",https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
JE Root ,England,2012,2025,158,288,24,13543,262,51.29,39,66,13,13,262,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/335700/335780.jpg",https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
RT Ponting ,Australia,1995,2012,168,287,29,13378,257,51.85,41,62,17,17,257,https://cf-img-a-in.tosshub.com/sites/visualstory/stories/2023_01/story_17282/assets/2.jpeg?time=1672992010,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
JH Kallis ,South Africa,1995,2013,166,280,40,13289,224,55.37,45,58,16,18,224,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/126500/126538.jpg,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
R Dravid ,India,1996,2012,164,286,32,13288,270,52.31,36,63,8,16,270,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/136200/136249.jpg",https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
AN Cook ,England,2006,2018,161,291,16,12472,294,45.35,33,57,9,12,294,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/174000/174063.jpg",https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
KC Sangakkara ,Sri Lanka,2000,2015,134,233,17,12400,319,57.4,38,52,11,15,319,https://cf-img-a-in.tosshub.com/sites/visualstory/wp/2024/08/Reuters_RTR41SHE.jpg?size=*:900,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
BC Lara ,West Indies,1990,2006,131,232,6,11953,400*,52.88,34,48,17,16,400,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/DB/042003/043955.jpg",https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
S Chanderpaul ,West Indies,1994,2015,164,280,49,11867,203*,51.37,30,66,15,21,203,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/134900/134936.jpg,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
DPMD Jayawardene ,Sri Lanka,1997,2014,149,252,15,11814,374,49.84,34,50,15,17,374,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/99300/99303.jpg",https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
AR Border ,Australia,1978,1994,156,265,44,11174,205,50.56,27,63,11,16,205,https://cf-img-a-in.tosshub.com/sites/visualstory/wp/2023/07/Allan-Border-3.jpg?size=*:900,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
SR Waugh ,Australia,1985,2004,168,260,46,10927,200,51.06,32,50,22,19,200,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/DB/122000/020666.jpg",https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
SPD Smith ,Australia,2010,2025,119,212,25,10477,239,56.02,36,43,11,15,239,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_800,q_50/lsci/db/PICTURES/CMS/165500/165515.jpg",https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
SM Gavaskar ,India,1971,1987,125,214,16,10122,236*,51.12,34,45,12,16,236,https://media.assettype.com/theleaflet%2Fimport%2Fwp-content%2Fuploads%2F2021%2F05%2F76b9823aa23de982551667d5acd87236.jpeg?w=640&auto=format%2Ccompress,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
Younis Khan ,Pakistan,2000,2017,118,213,19,10099,313,52.05,34,33,19,17,313,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/249800/249811.jpg",https://vemaps.com/uploads/img/pk-03.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfSMgRVKQWOxGyuGForkjZxIa7No87V-iQQ&s
HM Amla ,South Africa,2004,2019,124,215,16,9282,311*,46.64,28,41,13,15,311,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/232100/232121.jpg",https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
KS Williamson ,New Zealand,2010,2024,105,186,17,9276,251,54.88,33,37,11,14,251,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/376000/376090.jpg",https://vemaps.com/uploads/img/nz-03.png,https://upload.wikimedia.org/wikipedia/en/1/19/Logo_of_cricket_New_zealand_Team.png
GC Smith ,South Africa,2002,2014,117,205,13,9265,277,48.25,27,38,11,12,277,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/143300/143376.jpg,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
V Kohli ,India,2011,2025,123,210,13,9230,254*,46.85,30,31,15,14,254,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/356100/356139.jpg",https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
GA Gooch ,England,1975,1995,118,215,6,8900,333,42.58,20,46,13,20,333,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/24900/24989.jpg",https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
Javed Miandad ,Pakistan,1976,1993,124,189,21,8832,280*,52.57,23,43,6,17,280,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/25000/25011.jpg",https://vemaps.com/uploads/img/pk-03.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfSMgRVKQWOxGyuGForkjZxIa7No87V-iQQ&s
Inzamam-ul-Haq ,Pakistan,1992,2007,120,200,22,8830,329,49.6,25,46,15,15,329,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/80700/80731.jpg",https://vemaps.com/uploads/img/pk-03.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfSMgRVKQWOxGyuGForkjZxIa7No87V-iQQ&s
DA Warner ,Australia,2011,2024,112,205,8,8786,335*,44.59,26,37,13,13,335,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_800,q_50/lsci/db/PICTURES/CMS/141200/141284.2.jpg",https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
VVS Laxman ,India,1996,2012,134,225,34,8781,281,45.97,17,56,14,16,281,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/134500/134517.2.jpg,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
AB de Villiers ,South Africa,2004,2018,114,191,18,8765,278*,50.66,22,46,8,14,278,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/179300/179391.jpg",https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
MJ Clarke ,Australia,2004,2015,115,198,22,8643,329*,49.1,28,27,9,11,329,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_800,q_50/lsci/db/PICTURES/CMS/97700/97799.jpg",https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
ML Hayden ,Australia,1994,2009,103,184,14,8625,380,50.73,30,29,14,15,380,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/96400/96407.jpg",https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
V Sehwag ,India,2001,2013,104,180,6,8586,319,49.34,23,32,16,12,319,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/120200/120222.jpg,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
IVA Richards ,West Indies,1974,1991,121,182,12,8540,291,50.23,24,45,10,17,291,https://www.sportphotogallery.com/content/images/cmsfiles/product/21759/22015-list.jpg,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
AJ Stewart ,England,1990,2003,133,235,21,8463,190,39.54,15,45,14,13,190,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/69300/69333.jpg",https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
DI Gower ,England,1978,1992,117,204,18,8231,215,44.25,18,39,7,14,215,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
AD Mathews ,Sri Lanka,2009,2025,119,212,27,8214,200*,44.4,16,45,6,16,200,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
KP Pietersen ,England,2005,2014,104,181,8,8181,227,47.28,23,35,10,9,227,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
G Boycott ,England,1964,1982,108,193,23,8114,246*,47.72,22,42,10,18,246,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
GS Sobers ,West Indies,1954,1974,93,160,21,8032,365*,57.78,26,30,12,20,365,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
ME Waugh ,Australia,1991,2002,128,209,17,8029,153*,41.81,20,47,19,11,153,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
MA Atherton ,England,1989,2001,115,212,7,7728,185*,37.69,16,46,20,12,185,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
IR Bell ,England,2004,2015,118,205,24,7727,235,42.69,22,46,14,11,235,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
JL Langer ,Australia,1993,2007,105,182,12,7696,250,45.27,23,30,11,14,250,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
LRPL Taylor ,New Zealand,2007,2022,112,196,24,7683,290,44.66,19,35,14,15,290,,https://vemaps.com/uploads/img/nz-03.png,https://upload.wikimedia.org/wikipedia/en/1/19/Logo_of_cricket_New_zealand_Team.png
MC Cowdrey ,England,1954,1975,114,188,15,7624,182,44.06,22,38,9,21,182,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
CG Greenidge ,West Indies,1974,1991,108,185,16,7558,226,44.72,19,34,11,17,226,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
Mohammad Yousuf ,Pakistan,1998,2010,90,156,12,7530,223,52.29,24,33,11,12,223,,https://vemaps.com/uploads/img/pk-03.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfSMgRVKQWOxGyuGForkjZxIa7No87V-iQQ&s
MA Taylor ,Australia,1989,1999,104,186,13,7525,334*,43.49,19,40,5,10,334,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
CH Lloyd ,West Indies,1966,1985,110,175,14,7515,242*,46.67,19,39,4,19,242,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
DL Haynes ,West Indies,1978,1994,116,202,25,7487,184,42.29,18,39,10,16,184,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
DC Boon ,Australia,1984,1996,107,190,20,7422,200,43.65,21,32,16,12,200,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
G Kirsten ,South Africa,1993,2004,101,176,15,7289,275,45.27,21,34,13,11,275,,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
WR Hammond ,England,1927,1947,85,140,16,7249,336*,58.45,22,24,4,20,336,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
FDM Karunaratne ,Sri Lanka,2012,2025,100,191,7,7222,244,39.25,16,39,13,13,244,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
CH Gayle ,West Indies,2000,2014,103,182,11,7214,333,42.18,15,37,15,14,333,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
SC Ganguly ,India,1996,2008,113,188,17,7212,239,42.17,16,35,13,12,239,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
CA Pujara ,India,2010,2023,103,176,11,7195,206*,43.6,19,35,12,13,206,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
SP Fleming ,New Zealand,1994,2008,111,189,10,7172,274*,40.06,9,46,16,14,274,,https://vemaps.com/uploads/img/nz-03.png,https://upload.wikimedia.org/wikipedia/en/1/19/Logo_of_cricket_New_zealand_Team.png
Azhar Ali ,Pakistan,2010,2022,97,180,11,7142,302*,42.26,19,35,19,12,302,,https://vemaps.com/uploads/img/pk-03.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfSMgRVKQWOxGyuGForkjZxIa7No87V-iQQ&s
GS Chappell ,Australia,1970,1984,87,151,19,7110,247*,53.86,24,31,12,14,247,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
AJ Strauss ,England,2004,2012,100,178,6,7037,177,40.91,21,27,15,8,177,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
BA Stokes ,England,2013,2025,115,206,9,7032,258,35.69,14,35,16,12,258,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
DG Bradman ,Australia,1928,1948,52,80,10,6996,334,99.94,29,13,7,20,334,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
ST Jayasuriya ,Sri Lanka,1991,2007,110,188,14,6973,340,40.07,14,31,15,16,340,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
L Hutton ,England,1937,1955,79,138,15,6971,364,56.67,19,33,5,18,364,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
DB Vengsarkar ,India,1976,1992,116,185,22,6868,166,42.13,17,35,15,16,166,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
KF Barrington ,England,1955,1968,82,131,15,6806,256,58.67,20,35,5,13,256,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
GP Thorpe ,England,1993,2005,100,179,28,6744,200*,44.66,16,39,12,12,200,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
BB McCullum ,New Zealand,2004,2016,101,176,9,6453,302,38.64,12,31,14,12,302,,https://vemaps.com/uploads/img/nz-03.png,https://upload.wikimedia.org/wikipedia/en/1/19/Logo_of_cricket_New_zealand_Team.png
LD Chandimal ,Sri Lanka,2011,2025,90,161,15,6361,206*,43.56,16,34,8,14,206,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
PA de Silva ,Sri Lanka,1984,2002,93,159,11,6361,267,42.97,20,22,7,18,267,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
Mushfiqur Rahim ,Bangladesh,2005,2025,98,181,15,6328,219*,38.12,12,27,13,20,219,,https://vemaps.com/uploads/img/bd-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/Bangladesh_Cricket_Board_Logo.svg/1280px-Bangladesh_Cricket_Board_Logo.svg.png
MEK Hussey ,Australia,2005,2013,79,137,16,6235,195,51.52,19,29,12,8,195,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
RB Kanhai ,West Indies,1957,1974,79,137,6,6227,256,47.53,15,28,7,17,256,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
M Azharuddin ,India,1984,2000,99,147,9,6215,199,45.03,22,21,5,16,199,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
HH Gibbs ,South Africa,1996,2008,90,154,7,6167,228,41.95,14,26,11,12,228,,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
RN Harvey ,Australia,1948,1963,79,137,10,6149,205,48.41,21,24,7,15,205,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
GR Viswanath ,India,1969,1983,91,155,10,6080,222,41.93,14,35,10,14,222,,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
UT Khawaja ,Australia,2011,2025,84,152,14,6053,232,43.86,16,27,9,14,232,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
JM Bairstow ,England,2012,2024,100,178,12,6042,167*,36.39,12,26,17,12,167,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
KC Brathwaite ,West Indies,2011,2025,100,193,10,5950,212,32.51,12,31,19,14,212,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
RB Richardson ,West Indies,1983,1995,86,146,12,5949,194,44.39,16,27,8,12,194,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
RR Sarwan ,West Indies,2000,2011,87,154,8,5842,291,40.01,15,31,12,11,291,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
TWM Latham ,New Zealand,2014,2024,88,158,6,5834,264*,38.38,13,31,13,10,264,,https://vemaps.com/uploads/img/nz-03.png,https://upload.wikimedia.org/wikipedia/en/1/19/Logo_of_cricket_New_zealand_Team.png
ME Trescothick ,England,2000,2006,76,143,10,5825,219,43.79,14,29,12,6,219,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
DCS Compton ,England,1937,1957,78,131,15,5807,278,50.06,17,28,10,20,278,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
Saleem Malik ,Pakistan,1982,1999,103,154,22,5768,237,43.69,15,29,12,17,237,,https://vemaps.com/uploads/img/pk-03.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfSMgRVKQWOxGyuGForkjZxIa7No87V-iQQ&s
N Hussain ,England,1990,2004,96,171,16,5764,207,37.18,14,33,14,14,207,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
CL Hooper ,West Indies,1987,2002,102,173,15,5762,233,36.46,13,27,13,15,233,,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
MP Vaughan ,England,1999,2008,82,147,9,5719,197,41.44,18,18,9,9,197,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
AC Gilchrist ,Australia,1999,2008,96,137,20,5570,204*,47.6,17,26,14,9,204,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
MV Boucher ,South Africa,1997,2012,147,206,24,5515,125,30.3,5,35,17,15,125,,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
MS Atapattu ,Sri Lanka,1990,2007,90,156,15,5502,249,39.02,16,17,22,17,249,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
TM Dilshan ,Sri Lanka,1999,2013,87,145,11,5492,193,40.98,16,23,14,14,193,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
TT Samaraweera ,Sri Lanka,2001,2013,81,132,20,5462,231,48.76,14,30,11,12,231,,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
MD Crowe ,New Zealand,1982,1995,77,131,11,5444,299,45.36,17,18,9,13,299,,https://vemaps.com/uploads/img/nz-03.png,https://upload.wikimedia.org/wikipedia/en/1/19/Logo_of_cricket_New_zealand_Team.png
JB Hobbs ,England,1908,1930,61,102,7,5410,211,56.94,15,28,4,22,211,,https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
KD Walters ,Australia,1965,1981,74,125,14,5357,250,48.26,15,33,4,16,250,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
D Elgar ,South Africa,2012,2024,86,152,11,5347,199,37.92,14,23,13,12,199,,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
IM Chappell ,Australia,1964,1980,75,136,10,5345,196,42.42,14,26,11,16,196,,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
